S_TimeStamp,MeasurementValue
26 May 2016 13:30,38.6
26 May 2016 14:00,38.2
26 May 2016 14:30,47.2
26 May 2016 15:00,51.8
26 May 2016 15:30,42
26 May 2016 16:00,34.8
26 May 2016 16:30,29.4
26 May 2016 17:00,19
26 May 2016 17:30,6.8
26 May 2016 18:00,2
26 May 2016 18:30,5.6
26 May 2016 19:00,9.4
26 May 2016 19:30,10
26 May 2016 20:00,7.8
26 May 2016 20:30,8
26 May 2016 21:00,8.2
26 May 2016 21:30,7.4
26 May 2016 22:00,7.4
26 May 2016 22:30,7
26 May 2016 23:00,6.6
26 May 2016 23:30,6.6
27 May 2016 00:00,6
27 May 2016 00:30,6.2
27 May 2016 01:00,5.8
27 May 2016 01:30,6.4
27 May 2016 02:00,5.8
27 May 2016 02:30,5.4
27 May 2016 03:00,5.4
27 May 2016 03:30,5.2
27 May 2016 04:00,5.2
27 May 2016 04:30,5
27 May 2016 05:00,5.8
27 May 2016 05:30,4.8
27 May 2016 06:00,4.6
27 May 2016 06:30,5.6
27 May 2016 07:00,5.4
27 May 2016 07:30,6.8
27 May 2016 08:00,6.2
27 May 2016 08:30,6.4
27 May 2016 09:00,5
27 May 2016 09:30,1.4
27 May 2016 10:00,10
27 May 2016 10:30,23.2
27 May 2016 11:00,17.4
27 May 2016 11:30,34.4
27 May 2016 12:00,39.8
27 May 2016 12:30,47.4
27 May 2016 13:00,53.6
27 May 2016 13:30,48.6
27 May 2016 14:00,43.8
27 May 2016 14:30,23.2
27 May 2016 15:00,11.2
27 May 2016 15:30,3.6
27 May 2016 16:00,2.6
27 May 2016 16:30,2.4
27 May 2016 17:00,4
27 May 2016 17:30,4.6
27 May 2016 18:00,5.8
27 May 2016 18:30,7
27 May 2016 19:00,8.6
27 May 2016 19:30,9.6
27 May 2016 20:00,8.6
27 May 2016 20:30,8
27 May 2016 21:00,7.6
27 May 2016 21:30,7.4
27 May 2016 22:00,7.6
27 May 2016 22:30,7.4
27 May 2016 23:00,8
27 May 2016 23:30,6.6
,6.2
,5.8
,6
,6
,6.4
,5.6
,6.4
,5.8
,5.2
,4.6
,5.2
,5
,5.4
,5.6
,6.4
,6.4
,6.2
,5.8
,5
,2.8
,1.8
,2
,5
,16
,9.4
,51
,28
,47.4
,28.8
,11.8
,2.8
,4
,4.8
,1.6
,2
,3.8
,7.4
,9
,9.4
,11.2
,11.4
,9
,9
,8.6
,8.4
,8.4
,8.6
,8
,6.4
,7.2
,6.8
,6.6
,7
,7
,6.2
,6.2
,6
,5.6
,6
,5.6
,6.6
,7
,6.8
,7.4
,7.6
,7
,6
,10.8
,23.2
,32.8
,41.2
,47.6
,53.4
,56.6
,54
,55.8
,60
,26.4
,30
,46.4
,40.6
,15.8
,21.6
,2
,3
,6.6
,8.4
,9.2
,7.8
,8.6
,7.4
,7.8
,7.4
,8
,6.6
,6.4
,5.6
,5.8
,6
,7
,6.8
,5.4
,5.6
,5.6
,5.8
,5.4
,6.6
,5.4
,4.6
,5.2
,5.6
,5.8
,6
,6.6
,1.6
,2
,4.2
,3.4
,1.4
,1.8
,4.6
,2.6
,2.6
,8.8
,1.4
,4
,4
,3.2
,2.6
,2
,5
,3.2
,4.4
,5.8
,7
,8
,8.4
,7.8
,8
,8
,7.2
,7
,7.8
,7.2
,5.4
,5.6
,5.8
,5.8
,5.4
,6
,6
,6.6
,5.6
,5.4
,5.4
,5.2
,4.8
,5.4
,5.6
,6.6
,6
,5.2
,5.6
,4.2
,3.6
,7.8
,7.6
,1.4
,2.6
,1.6
,11.8
,4.6
,7.4
,9.4
,6
,12
,1.2
,1.4
,4.8
,3.8
,5.4
,7.8
,7
,8.8
,7.8
,7.4
,7.4
,7.8
,6
,6.2
,5.8
,5.6
,5.2
,5.4
,6
,4.8
,5.2
,4.8
,5
,5
,5.4
,5.8
,4.8
,4.8
,4.8
,5
,5.2
,5.8
,6.8
,5
,4.6
,3.8
,1.4
,2
,1.2
,1.4
,3.4
,14.4
,2.8
,1.6
,3.6
,12.4
,7.2
,5
,2.2
,1.8
,4.4
,3.8
,5
,6.4
,9
,8.4
,7.4
,8
,7.8
,7.8
,7.6
,8.2
,7.2
,5.8
,6.4
,5.6
,5.6
,5.4
,6.4
,6.2
,5.6
,5.8
,5.4
,5.2
,5.2
,5.4
,6.4
,5.8
,6.2
,6.6
,5.8
,6.4
,5.8
,4.4
,2.8
,2.4
,1.6
,2.4
,1.4
,1.2
,1.4
,1.4
,2
,1.4
,1.4
,1.4
,2.2
,4.6
,4.4
,6.2
,6.8
,6.8
,8
,7.6
,7.8
,7.8
,7.6
,7.2
,7
,6.4
,6.2
,6.8
,5.8
,5.8
,5.8
,5
,5.2
,5.4
,6.4
,5.6
,5.2
,5
,5
,4.8
,4.8
,6.4
,5.8
,5.8
,5.4
,5.2
,2
,1.4
,9.8
,6
,21
,36.4
,4.6
,15.2
,16.2
,19.6
,36
,29.4
,8.8
,11.8
,2.2
,1.6
,3
,4.2
,7.4
,7.2
,8
,8.6
,7.4
,7.2
,8.4
,6.6
,6.6
,6.4
,6
,5.8
,7.6
,6
,5.6
,5.2
,5.2
,5.2
,5.4
,6
,5.2
,4.8
,4.6
,4.6
,5.2
,5.6
,6.6
,6.6
,5.6
,5.4
,1.8
,5.6
,3
,1.6
,1.6
,13.4
,2.4
,10.8
,2.6
,15
,3.6
,1.6
,2.6
,3
,5
,4.2
,4
,6
,6.4
,7.8
,9
,7.6
,7.4
,7
,7
,7
,6.8
,6.2
,5.6
,5.4
,6.4
,5.8
,6
,5.6
,5.4
,4.8
,5.2
,5
,5.2
,5.8
,5.6
,4
,4.4
,4.6
,5.6
,5.2
,6.2
,3.8
,2.4
,12.6
,32.4
,31.4
,39.8
,45.2
,48.6
,9.8
,49.4
,50.4
,48.2
,22.6
,56.8
,36.4
,29
,18.2
,8.4
,3.2
,5.8
,6.2
,7.8
,7.4
,6.8
,6.4
,6.4
,6.2
,7.6
,6.2
,5.6
,5.6
,4.8
,4.4
,5.4
,5.2
,4.8
,4
,4.6
,4.2
,4.2
,4
,4.4
,4
,4
,4.2
,4.6
,4.8
,5.2
,5
,2.8
,23
,38.8
,45.6
,53.6
,53.6
,35.8
,51.4
,16.4
,23.8
,52.6
,58.2
,55.4
,60.6
,63.2
,66
,66
,67.8
,64
,62.4
,57.6
,52
,44.2
,33.2
,20.2
,2.2
,5.6
,6.8
,7
,7.2
,7.6
,7.4
,8
,6.8
,6.8
,6.6
,6.2
,5.6
,5.8
,5.4
,6.4
,6.2
,4.8
,4.6
,4.8
,5
,5.6
,5.6
,5
,5.2
,4.4
,5.2
,5.4
,6.4
,5.6
,2.4
,5.4
,1.8
,2
,22
,22.4
,35
,59.6
,63.4
,71.4
,45.4
,29
,43.2
,48.4
,44.4
,20.8
,10.4
,10.8
,6.4
,6.2
,6.6
,6.2
,2.4
,3.4
,14.6
,24.2
,34.2
,42.8
,50.6
,55.4
,57.2
,59.8
,59.8
,58.2
,53.6
,47.4
,42.6
,34.6
,24.8
,12.8
,2.6
,4.6
,7
,7
,7.2
,7.8
,8.4
,7.8
,7.6
,6.4
,6.2
,5.2
,6
,5.8
,5.4
,6.2
,4.6
,4.8
,5
,4.8
,4.6
,4.8
,5.4
,4.4
,4.4
,5.4
,5.4
,6.6
,6.6
,5.6
,2.2
,6.6
,20.4
,30.2
,5
,1.2
,4
,6.2
,1.4
,3.6
,1.2
,61.8
,63.6
,46.2
,50.8
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,46.6
,5.6
,5.8
,6.4
,6.2
,5.4
,5.6
,5.8
,6.8
,7.2
,7.6
,7.4
,7.8
,7.6
,8.8
,8.6
,7.4
,7.2
,6.4
,5.8
,7.2
,6.6
,6.4
,5.2
,5.4
,6.4
,6.4
,5.2
,5.4
,5.2
,5.2
,5.6
,6.2
,5.2
,5.4
,6
,6.6
,6.2
,6.2
,5.8
,5.4
,6.6
,4.2
,4.4
,3
,0.6
,3.2
,5.6
,6.4
,6.4
,9.4
,1.6
,0.8
,2.8
,3.2
,1.8
,5.4
,6.4
,9
,8.2
,7.8
,7
,7.2
,6.6
,7.6
,7.4
,6.4
,6.4
,6.6
,6.2
,6
,6
,5.8
,5
,5
,4.6
,4.6
,4.8
,5.6
,5.6
,4.8
,5.4
,5.4
,5.4
,5
,6.6
,6.4
,1.4
,2.2
,11.6
,8.6
,9.6
,17.6
,16.8
,40.8
,30.6
,42.6
,31.2
,25.2
,35.8
,19.6
,16.4
,8.2
,3.6
,5
,7.4
,8.4
,8.6
,8.2
,8
,7.4
,7.6
,7
,7
,7.6
,6.8
,7
,6.4
,6.8
,6.4
,6
,6
,6.2
,5.8
,5.6
,6.6
,5.8
,5.4
,5.6
,6.2
,6.6
,5.6
,5.4
,1.4
,8.4
,24
,36
,37
,37.4
,65
,63.4
,63
,54.8
,69.2
,40.6
,65.2
,59.6
,53.2
,45
,35.2
,22.4
,10.8
,1.8
,6
,8.4
,8.4
,8
,7.4
,7.6
,6.6
,7.8
,7.4
,5.8
,5.6
,5.8
,5.4
,5.4
,5.8
,5
,5
,5.2
,4.8
,4.6
,5
,5.2
,5.4
,5
,5.4
,6.2
,6.2
,5.4
,5.8
,18
,31.2
,42
,51.4
,56
,62
,65.6
,68.2
,69
,67.8
,66.6
,62.4
,58
,51.8
,42.8
,32.2
,20.6
,9.8
,1.2
,8.2
,9
,8.2
,6.8
,6.8
,7.4
,8.2
,6.4
,6.4
,6.4
,6.2
,5.8
,6
,7.2
,5.6
,5.4
,5.4
,5.6
,5.2
,5.2
,6.2
,5
,4.8
,5.2
,5.4
,5.8
,6.8
,6.2
,3.6
,17.4
,20
,38.6
,47.8
,55.6
,59.8
,61.8
,56.2
,54
,58.8
,56.8
,45.4
,47
,39.6
,19
,26.6
,19.6
,8.4
,2.4
,8.4
,8.8
,9.2
,7.4
,8.6
,7.8
,7
,7.6
,7
,6
,6
,6.2
,6
,6
,6.6
,5.4
,5.6
,5.2
,5.2
,5.2
,5.2
,5.2
,5
,6.4
,5.2
,6
,6
,5.4
,4.6
,17.6
,30.2
,41
,50.4
,56.8
,61
,65.8
,66.2
,66.6
,64.4
,55
,53.6
,49.8
,49.6
,37
,31.2
,22.4
,11.2
,2.8
,6.4
,8.6
,9.2
,8.4
,8.4
,7.8
,7.6
,7.4
,7.8
,6.2
,6.2
,6
,5.8
,7.2
,5.4
,5.2
,5.2
,5.4
,5.2
,5.2
,6
,5
,5.2
,5.6
,6
,6
,6.6
,5
,6
,18.2
,30.6
,41.4
,49.8
,58
,57.8
,62
,56.6
,47.8
,19
,32.6
,23.2
,26.8
,11.8
,13.2
,12.4
,19.2
,10
,1.8
,7
,8.2
,9
,7.8
,7.4
,7.6
,7.6
,6
,6.4
,6.4
,6
,5.6
,7
,5.6
,5.4
,5.2
,5.2
,5.6
,6.4
,6.2
,5.8
,5.8
,5.4
,5.8
,5.6
,7
,6.4
,5.2
,3.6
,1.8
,2
,10.6
,22.4
,36.6
,25.4
,34.6
,17.8
,26.6
,25.4
,11.8
,3.4
,3.6
,2.4
,2.2
,1.2
,1.2
,3
,6
,6.4
,8.2
,7.8
,7.8
,8.2
,8
,8.2
,7.4
,7.2
,6.8
,6.8
,6
,5.6
,6.2
,5.2
,5.6
,5.4
,6.6
,5.8
,5.6
,5.6
,6
,5.6
,6.8
,6.6
,6.4
,5.8
,5.4
,1.8
,18.8
,33.6
,46.4
,53.8
,62.4
,65.2
,72
,62.8
,73.6
,75.8
,74
,68.8
,54
,58
,48.6
,12
,12.4
,9
,1
,7.6
,9.6
,8.4
,7.6
,7.4
,7.6
,7.4
,8
,6.6
,6.4
,6.4
,6.2
,5.8
,7
,5.4
,5
,6
,6
,5.8
,6
,6.6
,6
,6
,6.2
,6.4
,7.2
,7.2
,2.8
,8.6
,20.8
,33
,43.6
,52.6
,63.2
,66
,68.4
,70.2
,70
,71
,66.6
,66.6
,61.6
,53.8
,47.2
,36.8
,25.4
,13.8
,1.2
,6.8
,8
,8.2
,8
,8.8
,8.6
,8
,7.4
,7.6
,6.8
,7
,6.6
,6.8
,6
,5.6
,5.2
,6.6
,6.2
,5.4
,5.6
,6
,5.6
,5.4
,6.4
,6
,6.4
,5.4
,1.8
,9.8
,6.2
,32.2
,42.4
,51.6
,57.4
,63.8
,66.6
,68.6
,67.8
,68.2
,66
,59
,53.2
,45.8
,35.2
,24.6
,13.4
