/home/aris/data/lamia.csv,MeasurementValue
1/12/2011 10:30,117.04
1/12/2011 11:00,121.33
1/12/2011 11:30,119.18
1/12/2011 12:00,118.58
1/12/2011 12:30,123.17
1/12/2011 13:00,119.18
1/12/2011 13:30,133.93
1/12/2011 14:00,119.79
1/12/2011 14:30,118.58
1/12/2011 15:00,106.59
1/12/2011 15:30,103.22
1/12/2011 16:00,86.31
1/12/2011 16:30,78.02
1/12/2011 17:00,76.18
1/12/2011 17:30,79.26
1/12/2011 18:00,82.63
1/12/2011 18:30,83.55
1/12/2011 19:00,85.39
1/12/2011 19:30,85.39
1/12/2011 20:00,84.47
1/12/2011 20:30,84.77
1/12/2011 21:00,83.85
1/12/2011 21:30,73.41
1/12/2011 22:00,48.23
1/12/2011 22:30,50.06
1/12/2011 23:00,47.61
1/12/2011 23:30,44.85
1/13/2011,56.21
1/13/2011 0:30,49.76
1/13/2011 1:00,51.6
1/13/2011 1:30,48.53
1/13/2011 2:00,50.68
1/13/2011 2:30,58.67
1/13/2011 3:00,58.35
1/13/2011 3:30,48.84
1/13/2011 4:00,49.76
1/13/2011 4:30,50.06
1/13/2011 5:00,46.99
1/13/2011 5:30,49.44
1/13/2011 6:00,58.97
1/13/2011 6:30,75.86
1/13/2011 7:00,84.17
1/13/2011 7:30,97.99
1/13/2011 8:00,116.12
1/13/2011 8:30,121.33
1/13/2011 9:00,116.72
1/13/2011 9:30,127.16
1/13/2011 10:00,125.33
1/13/2011 10:30,129.64
1/13/2011 11:00,130.24
1/13/2011 11:30,141
1/13/2011 12:00,123.17
1/13/2011 12:30,122.25
1/13/2011 13:00,125.94
1/13/2011 13:30,119.18
1/13/2011 14:00,124.41
1/13/2011 14:30,108.43
1/13/2011 15:00,103.52
1/13/2011 15:30,79.86
1/13/2011 16:00,70.95
1/13/2011 16:30,68.19
1/13/2011 17:00,70.95
1/13/2011 17:30,74.03
1/13/2011 18:00,68.49
1/13/2011 18:30,84.17
1/13/2011 19:00,71.27
1/13/2011 19:30,88.46
1/13/2011 20:00,68.49
1/13/2011 20:30,72.49
1/13/2011 21:00,77.1
1/13/2011 21:30,64.82
1/13/2011 22:00,50.06
1/13/2011 22:30,49.76
1/13/2011 23:00,43.61
1/13/2011 23:30,43.61
1/14/2011 0:30,37.46
1/14/2011 1:00,42.69
1/14/2011 1:30,39.62
1/14/2011 2:00,39.62
1/14/2011 2:30,35.01
1/14/2011 3:00,36.24
1/14/2011 3:30,42.08
1/14/2011 4:00,39.62
1/14/2011 4:30,38.08
1/14/2011 5:00,41.78
1/14/2011 5:30,42.99
1/14/2011 6:00,56.21
1/14/2011 6:30,55.89
1/14/2011 7:00,70.03
1/14/2011 7:30,86.01
1/14/2011 8:00,98.29
1/14/2011 8:30,104.44
1/14/2011 9:00,106.89
1/14/2011 9:30,104.44
1/14/2011 10:00,111.21
1/14/2011 10:30,109.05
1/14/2011 11:00,111.51
1/14/2011 11:30,110.89
1/14/2011 12:00,109.67
1/14/2011 12:30,112.13
1/14/2011 13:00,107.81
1/14/2011 13:30,107.21
1/14/2011 14:00,104.44
1/14/2011 14:30,98.29
1/14/2011 15:00,95.83
1/14/2011 15:30,96.15
1/14/2011 16:00,86.31
1/14/2011 16:30,68.81
1/14/2011 17:00,68.81
1/14/2011 17:30,71.87
1/14/2011 18:00,72.81
1/14/2011 18:30,63.28
1/14/2011 19:00,70.95
1/14/2011 19:30,70.65
1/14/2011 20:00,64.2
1/14/2011 20:30,68.19
1/14/2011 21:00,61.43
1/14/2011 21:30,50.06
1/14/2011 22:00,37.16
1/14/2011 22:30,35.01
1/14/2011 23:00,41.46
1/14/2011 23:30,36.54
1/15/2011,36.54
1/15/2011 0:30,32.25
1/15/2011 1:00,32.25
1/15/2011 1:30,32.25
1/15/2011 2:00,32.25
1/15/2011 2:30,32.25
1/15/2011 3:00,32.25
1/15/2011 3:30,32.25
1/15/2011 4:00,32.25
1/15/2011 4:30,32.25
1/15/2011 5:00,32.25
1/15/2011 5:30,32.25
1/15/2011 6:00,32.25
1/15/2011 6:30,32.25
1/15/2011 7:00,32.25
1/15/2011 7:30,32.25
1/15/2011 8:00,32.25
1/15/2011 8:30,32.25
1/15/2011 9:00,32.25
1/15/2011 9:30,32.25
1/15/2011 10:00,32.25
1/15/2011 10:30,32.25
1/15/2011 11:00,32.25
1/15/2011 11:30,32.25
1/15/2011 12:00,32.25
1/15/2011 12:30,32.23
1/15/2011 13:00,32.23
1/15/2011 13:30,32.23
1/15/2011 14:00,32.23
1/15/2011 14:30,32.23
1/15/2011 15:00,32.23
1/15/2011 15:30,32.23
1/15/2011 16:00,32.23
1/15/2011 16:30,32.23
1/15/2011 17:00,32.23
1/15/2011 17:30,32.23
1/15/2011 18:00,32.23
1/15/2011 18:30,32.23
1/15/2011 19:00,32.23
1/15/2011 19:30,32.23
1/15/2011 20:00,32.23
1/15/2011 20:30,32.23
1/15/2011 21:00,32.23
