DATE,I
2013-11-03 23:30,5.3
2013-11-03 23:40,5.2
2013-11-03 23:50,5
2013-11-04 00:00,5
2013-11-04 00:10,5
2013-11-04 00:20,3.9
2013-11-04 00:30,4
2013-11-04 00:40,4
2013-11-04 00:50,4.1
2013-11-04 01:00,4.2
2013-11-04 01:10,5.5
2013-11-04 01:20,5.4
2013-11-04 01:30,5.5
2013-11-04 01:40,5.4
2013-11-04 01:50,5.4
2013-11-04 02:00,5.4
2013-11-04 02:10,5.5
2013-11-04 02:20,5.4
2013-11-04 02:30,5.4
2013-11-04 02:40,5.4
2013-11-04 02:50,5.4
2013-11-04 03:00,4.2
2013-11-04 03:10,4.1
2013-11-04 03:20,4
2013-11-04 03:30,4.1
2013-11-04 03:40,14.7
2013-11-04 03:50,18.1
2013-11-04 04:00,18.7
2013-11-04 04:10,18.9
2013-11-04 04:20,19.2
2013-11-04 04:30,19.3
2013-11-04 04:40,19.4
2013-11-04 04:50,19.4
2013-11-04 05:00,19.4
2013-11-04 05:10,19.5
2013-11-04 05:20,19.5
2013-11-04 05:30,19.5
2013-11-04 05:40,20.8
2013-11-04 05:50,20.7
2013-11-04 06:00,20.7
2013-11-04 06:10,20.5
2013-11-04 06:20,21.9
2013-11-04 06:30,21.8
2013-11-04 06:40,21.8
2013-11-04 06:50,24.5
2013-11-04 07:00,25.5
2013-11-04 07:10,24.2
